source,endpoint,indicator_code,indicator_name,location_code,location_name,location_type,year,value,numeric_value,low,high,unit,sex,age,publish_state,raw_json
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,ARM,,COUNTRY,2020,73.0,73.0,,,,,,,"{""Id"": 6175, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""73"", ""NumericValue"": 73.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,ARM,,COUNTRY,2019,65.0,65.0,,,,,,,"{""Id"": 15731, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ARM"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""65"", ""NumericValue"": 65.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,JAM,,COUNTRY,2014,5.0,5.0,,,,,,,"{""Id"": 16162, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""JAM"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2014, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""5"", ""NumericValue"": 5.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2014"", ""TimeDimensionBegin"": ""2014-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2014-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,SEAR,,REGION,2006,59.0,59.0,,,,,,,"{""Id"": 16801, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""REGION"", ""SpatialDim"": ""SEAR"", ""ParentLocationCode"": null, ""TimeDimType"": ""YEAR"", ""ParentLocation"": null, ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2006, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""59"", ""NumericValue"": 59.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2006"", ""TimeDimensionBegin"": ""2006-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2006-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,GIN,,COUNTRY,2007,73.0,73.0,,,,,,,"{""Id"": 17138, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GIN"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2007, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""73"", ""NumericValue"": 73.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2007"", ""TimeDimensionBegin"": ""2007-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2007-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,CRI,,COUNTRY,2008,77.0,77.0,,,,,,,"{""Id"": 17902, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""CRI"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2008, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""77"", ""NumericValue"": 77.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2008"", ""TimeDimensionBegin"": ""2008-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2008-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,KWT,,COUNTRY,2018,67.0,67.0,,,,,,,"{""Id"": 20781, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""KWT"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2018, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""67"", ""NumericValue"": 67.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2018"", ""TimeDimensionBegin"": ""2018-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2018-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,UKR,,COUNTRY,2017,67.0,67.0,,,,,,,"{""Id"": 22189, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""UKR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2017, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""67"", ""NumericValue"": 67.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,KEN,,COUNTRY,2010,82.0,82.0,,,,,,,"{""Id"": 24561, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""KEN"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2010, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""82"", ""NumericValue"": 82.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2010"", ""TimeDimensionBegin"": ""2010-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2010-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,BEL,,COUNTRY,2021,92.0,92.0,,,,,,,"{""Id"": 25081, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BEL"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""92"", ""NumericValue"": 92.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,EUR,,REGION,2020,47.0,47.0,,,,,,,"{""Id"": 28410, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""REGION"", ""SpatialDim"": ""EUR"", ""ParentLocationCode"": null, ""TimeDimType"": ""YEAR"", ""ParentLocation"": null, ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2020, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""47"", ""NumericValue"": 47.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2020"", ""TimeDimensionBegin"": ""2020-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2020-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,IRN,,COUNTRY,2012,66.0,66.0,,,,,,,"{""Id"": 44439, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""IRN"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2012, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""66"", ""NumericValue"": 66.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2012"", ""TimeDimensionBegin"": ""2012-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2012-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,PRY,,COUNTRY,2021,34.0,34.0,,,,,,,"{""Id"": 45204, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PRY"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""34"", ""NumericValue"": 34.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,MAC,,COUNTRY,2022,50.0,50.0,,,,,,,"{""Id"": 47345, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MAC"", ""ParentLocationCode"": null, ""TimeDimType"": ""YEAR"", ""ParentLocation"": null, ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2022, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""50"", ""NumericValue"": 50.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2022"", ""TimeDimensionBegin"": ""2022-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2022-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,GUY,,COUNTRY,2015,48.0,48.0,,,,,,,"{""Id"": 50972, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""GUY"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2015, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""48"", ""NumericValue"": 48.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2015"", ""TimeDimensionBegin"": ""2015-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2015-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,ISR,,COUNTRY,2023,73.0,73.0,,,,,,,"{""Id"": 52596, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ISR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""73"", ""NumericValue"": 73.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,MOZ,,COUNTRY,2017,85.0,85.0,,,,,,,"{""Id"": 53552, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MOZ"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2017, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""85"", ""NumericValue"": 85.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,LCA,,COUNTRY,2009,0.0,0.0,,,,,,,"{""Id"": 60203, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""LCA"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2009, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""0"", ""NumericValue"": 0.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2009"", ""TimeDimensionBegin"": ""2009-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2009-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,HND,,COUNTRY,2023,63.0,63.0,,,,,,,"{""Id"": 563456, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""HND"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""63"", ""NumericValue"": 63.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,MAR,,COUNTRY,2023,54.0,54.0,,,,,,,"{""Id"": 565343, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MAR"", ""ParentLocationCode"": ""EMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Eastern Mediterranean"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""54"", ""NumericValue"": 54.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,MOZ,,COUNTRY,2015,86.0,86.0,,,,,,,"{""Id"": 569445, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MOZ"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2015, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""86"", ""NumericValue"": 86.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2015"", ""TimeDimensionBegin"": ""2015-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2015-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,TGO,,COUNTRY,2017,75.0,75.0,,,,,,,"{""Id"": 573890, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TGO"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2017, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""75"", ""NumericValue"": 75.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2017"", ""TimeDimensionBegin"": ""2017-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2017-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,NGA,,COUNTRY,2019,81.0,81.0,,,,,,,"{""Id"": 576175, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""NGA"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""81"", ""NumericValue"": 81.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,BHS,,COUNTRY,2021,71.0,71.0,,,,,,,"{""Id"": 577005, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""BHS"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2021, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""71"", ""NumericValue"": 71.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2021"", ""TimeDimensionBegin"": ""2021-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2021-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,ISR,,COUNTRY,2013,71.0,71.0,,,,,,,"{""Id"": 579866, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""ISR"", ""ParentLocationCode"": ""EUR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Europe"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2013, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""71"", ""NumericValue"": 71.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2013"", ""TimeDimensionBegin"": ""2013-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2013-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,TLS,,COUNTRY,2023,89.0,89.0,,,,,,,"{""Id"": 593301, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""TLS"", ""ParentLocationCode"": ""SEAR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""South-East Asia"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""89"", ""NumericValue"": 89.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,MDG,,COUNTRY,2023,73.0,73.0,,,,,,,"{""Id"": 594135, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""MDG"", ""ParentLocationCode"": ""AFR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Africa"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2023, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""73"", ""NumericValue"": 73.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2023"", ""TimeDimensionBegin"": ""2023-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2023-12-31T00:00:00+01:00""}"
WHO GHO OData,TB_c_tbhiv_tsr,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,PRI,,COUNTRY,2019,100.0,100.0,,,,,,,"{""Id"": 601131, ""IndicatorCode"": ""TB_c_tbhiv_tsr"", ""SpatialDimType"": ""COUNTRY"", ""SpatialDim"": ""PRI"", ""ParentLocationCode"": ""AMR"", ""TimeDimType"": ""YEAR"", ""ParentLocation"": ""Americas"", ""Dim1Type"": null, ""Dim1"": null, ""TimeDim"": 2019, ""Dim2Type"": null, ""Dim2"": null, ""Dim3Type"": null, ""Dim3"": null, ""DataSourceDimType"": null, ""DataSourceDim"": null, ""Value"": ""100"", ""NumericValue"": 100.0, ""Low"": null, ""High"": null, ""Comments"": null, ""Date"": ""2025-11-11T17:49:31.553+01:00"", ""TimeDimensionValue"": ""2019"", ""TimeDimensionBegin"": ""2019-01-01T00:00:00+01:00"", ""TimeDimensionEnd"": ""2019-12-31T00:00:00+01:00""}"
